Time (s),Motion
0.0,0.47332475
1.0,0.64168566
2.0,1.100323
3.0,1.412
4.0,5.055563
5.0,4.717406
6.0,0.5656384
7.0,0.008151066
8.0,0.003971822
9.0,4.0299673
10.0,1.817167
11.0,3.9060807
12.0,1.2590892
13.0,1.6308587
14.0,4.7252736
15.0,5.8086705
16.0,0.17000419
17.0,0.21370283
18.0,0.20190625
19.0,0.2016977
20.0,5.218813
21.0,0.34928957
22.0,5.644567
23.0,0.02069688
24.0,0.41729718
25.0,4.6228127
26.0,0.08916029
27.0,0.07580391
28.0,0.08489374
29.0,0.0902361
30.0,0.10922321
31.0,0.12795518
32.0,3.3006837
33.0,14.708223
34.0,6.6838527
35.0,5.451173
36.0,1.8421528
37.0,0.78019845
38.0,0.24778625
39.0,3.6024065
40.0,2.6847472
41.0,0.9436416
42.0,5.9272127
43.0,0.18317898
44.0,4.4403596
45.0,0.05263095
46.0,0.023149777
47.0,0.034492172
48.0,0.021763537
49.0,0.055560075
50.0,0.033039905
51.0,0.086012185
52.0,0.032822307
53.0,0.14576018
54.0,0.043868035
55.0,0.14097355
56.0,1.0799448
57.0,0.94613075
58.0,0.017362662
59.0,0.027533589
60.0,0.03106784
61.0,0.04623722
62.0,0.10634695
63.0,0.13301302
64.0,6.0359316
65.0,2.9476395
66.0,0.0788536
67.0,0.011538189
68.0,0.07716721
69.0,9.31616
70.0,8.792506
71.0,3.19007
72.0,4.3335843
73.0,0.12073975
74.0,0.6803848
75.0,3.8766716
76.0,2.4471362
77.0,0.94190526
78.0,1.7059973
79.0,2.8961213
80.0,2.903685
81.0,1.786793
82.0,5.2455897
83.0,5.94178
84.0,3.7571447
85.0,5.762265
86.0,0.32300273
87.0,3.7429993
88.0,0.9065965
89.0,0.43733507
90.0,0.15949342
91.0,0.026958821
92.0,9.087341
93.0,5.0519285
94.0,3.9608378
95.0,0.13831949
96.0,1.1378714
97.0,1.3571078
98.0,7.0310683
99.0,5.7748632
100.0,4.3834376
101.0,3.3705819
102.0,2.0634525
103.0,1.9802029
104.0,3.255369
105.0,3.5932462
106.0,3.6942253
107.0,2.6064684
108.0,3.7347288
109.0,7.2265515
110.0,9.078228
111.0,3.4851263
112.0,4.2381144
113.0,3.2948613
114.0,6.2410345
115.0,5.504952
116.0,4.868093
117.0,3.24895
118.0,1.2611518
119.0,1.9919628
120.0,3.4905577
121.0,4.572027
122.0,8.523683
123.0,8.28988
124.0,6.0156364
125.0,6.0365853
126.0,7.6162634
127.0,5.0050445
128.0,0.36021572
129.0,3.6882555
130.0,4.88195
131.0,2.5983934
132.0,3.670252
133.0,5.3745556
134.0,4.683107
135.0,3.4306698
136.0,3.852446
137.0,3.6184883
138.0,1.5489699
139.0,1.3591135
140.0,3.5220134
141.0,3.841473
142.0,1.5232662
143.0,1.6626571
144.0,1.7063919
145.0,1.554581
146.0,3.6457136
147.0,2.0878038
148.0,0.42562145
149.0,2.3371296
150.0,4.0057874
151.0,5.548927
152.0,4.3687696
153.0,3.0564325
154.0,0.4077972
155.0,2.0158403
156.0,2.253965
157.0,2.886853
158.0,3.5824718
159.0,1.4008117
160.0,3.18049
161.0,5.8929687
162.0,6.102275
163.0,5.216411
164.0,3.6918075
165.0,5.539414
166.0,5.079805
167.0,2.8939435
168.0,6.8088923
169.0,9.800548
170.0,6.6943684
171.0,2.3429675
172.0,2.769344
173.0,5.4425983
174.0,7.6883807
175.0,7.0477257
176.0,7.2878327
177.0,5.408245
178.0,1.9582953
179.0,1.0855477
180.0,0.0
181.0,0.00013983717
182.0,1.7154453
183.0,5.2343507
184.0,5.088251
185.0,5.961828
186.0,0.90222913
187.0,1.7677226
188.0,0.44761804
189.0,0.53657377
190.0,0.8867687
191.0,1.0286843
192.0,1.6932521
193.0,0.6017133
194.0,6.608584
195.0,0.0054353233
196.0,5.460012
197.0,4.218681
198.0,4.171344
199.0,4.72971
200.0,4.1155744
201.0,4.3395042
202.0,4.149161
203.0,3.4243445
204.0,3.723523
205.0,3.6760595
206.0,2.2833033
207.0,2.2450397
208.0,3.146647
209.0,0.010612174
210.0,1.6941309
211.0,3.9383633
212.0,2.801541
213.0,2.620466
214.0,0.014702706
215.0,0.07926828
216.0,0.16399436
217.0,4.4780326
218.0,5.973942
219.0,3.247715
220.0,0.9319225
221.0,1.4289967
222.0,4.3279624
223.0,2.835355
224.0,0.06992535
225.0,0.008142919
226.0,0.004223739
227.0,4.8635635
228.0,6.7491317
229.0,6.657783
230.0,6.786877
231.0,6.9609427
232.0,4.6625504
233.0,5.388194
234.0,1.5154305
235.0,0.09611735
236.0,3.7324905
237.0,0.1497306
238.0,1.8005222
239.0,1.209125
240.0,0.20589976
241.0,0.13328002
242.0,0.5176285
243.0,1.3432367
244.0,2.0090296
245.0,2.636141
246.0,3.1332521
247.0,4.0309863
248.0,8.285412
249.0,5.2239814
250.0,2.2823894
251.0,1.2593055
252.0,1.6628567
253.0,2.0240192
254.0,1.9997857
255.0,2.2137134
256.0,2.2259378
257.0,2.0532877
258.0,0.009177719
