Time (s),RMS
0.0,1.7212047e-05
1.0,0.0043682717
2.0,0.009924242
3.0,0.012439779
4.0,0.017731607
5.0,0.03739503
6.0,0.044612348
7.0,0.03538515
8.0,0.033894733
9.0,0.031230327
10.0,0.033108946
11.0,0.053941295
12.0,0.049909182
13.0,0.010917955
14.0,0.057702273
15.0,0.040877372
16.0,0.061274864
17.0,0.04036315
18.0,0.034084402
19.0,0.070338145
20.0,0.10254021
21.0,0.10057056
22.0,0.06734799
23.0,0.08911057
24.0,0.069824845
25.0,0.08767099
26.0,0.021659939
27.0,0.057561755
28.0,0.03268526
29.0,0.06625639
30.0,0.026322076
31.0,0.06982405
32.0,0.06449802
33.0,0.055254504
34.0,0.05877457
35.0,0.053060733
36.0,0.048601963
37.0,0.03354948
38.0,0.036368456
39.0,0.0653191
40.0,0.056018073
41.0,0.061486993
42.0,0.045560576
43.0,0.027204849
44.0,0.07923532
45.0,0.03892396
46.0,0.052605804
47.0,0.061645444
48.0,0.042898525
49.0,0.0069871545
50.0,0.08450109
51.0,0.028807001
52.0,0.012052289
53.0,0.07479984
54.0,0.07635839
55.0,0.021760205
56.0,0.010595268
57.0,0.078604
58.0,0.020218046
59.0,0.083864346
60.0,0.06633034
61.0,0.019461943
62.0,0.056695443
63.0,0.06859686
64.0,0.07190281
65.0,0.02339551
66.0,0.08393534
67.0,0.057443347
68.0,0.046261657
69.0,0.020981511
70.0,0.053489756
71.0,0.09648874
72.0,0.02524034
73.0,0.015283837
74.0,0.043987446
75.0,0.05083367
76.0,0.04773344
77.0,0.029240422
78.0,0.01631182
79.0,0.030910702
80.0,0.03874129
81.0,0.054544322
82.0,0.02862994
83.0,0.05782947
84.0,0.021146338
85.0,0.053707205
86.0,0.05778773
87.0,0.018948961
88.0,0.040078104
89.0,0.057622977
90.0,0.07194662
91.0,0.029084036
92.0,0.04798904
93.0,0.07399553
94.0,0.009837485
95.0,0.005637237
96.0,0.0039784075
97.0,0.017597474
98.0,0.07476267
99.0,0.08166677
100.0,0.044985797
101.0,0.030903088
102.0,0.0014189838
103.0,0.053528715
104.0,0.030198019
105.0,0.03922024
106.0,0.055910427
107.0,0.008481574
108.0,0.003106785
109.0,0.08741775
110.0,0.076609746
111.0,0.044211283
112.0,0.055896603
113.0,0.054469787
114.0,0.047068916
115.0,0.021577153
116.0,0.013273604
117.0,0.010587793
118.0,0.009311622
119.0,0.061773963
120.0,0.07056241
121.0,0.0011335838
122.0,0.039869472
123.0,0.04710735
124.0,0.05049479
125.0,0.050370485
126.0,0.045672715
127.0,0.051528342
128.0,0.051147804
129.0,0.049617924
130.0,0.05039461
131.0,0.049414646
132.0,0.053299993
133.0,0.059108622
134.0,0.04612746
135.0,0.05074011
136.0,0.04746055
137.0,0.03199016
138.0,0.04546327
139.0,0.0428864
140.0,0.0511716
141.0,0.05233321
142.0,0.04388454
143.0,0.05418356
144.0,0.05674873
145.0,0.05452324
146.0,0.050974354
147.0,0.067261726
148.0,0.049789626
149.0,0.047910336
150.0,0.052296225
151.0,0.06253973
152.0,0.049513377
153.0,0.058427773
154.0,0.04842752
155.0,0.0572473
156.0,0.04561315
157.0,0.05481533
158.0,0.058623765
159.0,0.060836542
160.0,0.053329103
161.0,0.06872519
162.0,0.07617945
163.0,0.05809759
164.0,0.06562345
165.0,0.062493347
166.0,0.056150883
167.0,0.070321985
168.0,0.055979166
169.0,0.07359888
170.0,0.06060835
171.0,0.052344754
172.0,0.054054637
173.0,0.065292604
174.0,0.06096492
175.0,0.059434436
176.0,0.05652147
177.0,0.0662411
178.0,0.057767835
179.0,0.060620222
180.0,0.053952523
181.0,0.050434075
182.0,0.081887886
183.0,0.059298106
184.0,0.061826844
185.0,0.05187856
186.0,0.04915923
187.0,0.06784353
188.0,0.06349466
189.0,0.05545786
190.0,0.06419619
191.0,0.06025297
192.0,0.065695345
193.0,0.059558
194.0,0.052740928
195.0,0.07751072
196.0,0.063104466
197.0,0.05431036
198.0,0.043707512
199.0,0.044998392
200.0,0.050753303
201.0,0.04835332
202.0,0.051539656
203.0,0.048429664
204.0,0.0473548
205.0,0.050446738
206.0,0.05008521
207.0,0.05140026
208.0,0.0388383
209.0,0.042468168
210.0,0.04739536
211.0,0.010234507
212.0,0.081352554
213.0,0.10354351
214.0,0.11963103
215.0,0.06426686
216.0,0.0087650595
217.0,0.011817761
218.0,0.011954487
219.0,0.0129567
220.0,0.012336468
221.0,0.0006351487
222.0,0.013604223
223.0,0.031832356
224.0,0.023273498
225.0,0.018021721
226.0,0.027569901
227.0,0.017480714
228.0,0.015158013
229.0,0.026500057
230.0,0.04145965
231.0,0.039435163
232.0,0.027185246
233.0,0.036295157
234.0,0.02752211
235.0,0.04183726
236.0,0.049799558
237.0,0.050837617
238.0,0.05117446
239.0,0.0476642
240.0,0.04643968
241.0,0.057840496
242.0,0.05282751
243.0,0.050593864
244.0,0.054514784
245.0,0.054569744
246.0,0.068732046
247.0,0.08726036
248.0,0.06921966
249.0,0.10050166
250.0,0.11026846
251.0,0.1155529
252.0,0.12542799
253.0,0.13517424
254.0,0.16074058
255.0,0.11513331
256.0,0.11907326
257.0,0.12606944
258.0,0.097491205
259.0,0.087562375
260.0,0.08559693
261.0,0.07364935
262.0,0.055368144
263.0,0.052778143
264.0,0.09149318
265.0,0.08832988
266.0,0.08497315
267.0,0.09575035
268.0,0.06816729
269.0,0.055551603
270.0,0.08665586
271.0,0.057513494
272.0,0.056136712
273.0,0.09430991
274.0,0.06600214
275.0,0.05126857
276.0,0.1141784
277.0,0.09450958
278.0,0.100532465
279.0,0.065093845
280.0,0.08321319
281.0,0.07701796
282.0,0.096819654
283.0,0.0953032
284.0,0.07648899
