Time (s),Motion
0.0,1.5252645
1.0,1.253279
2.0,1.2474335
3.0,1.2290294
4.0,10.974347
5.0,13.592677
6.0,14.21194
7.0,11.528346
8.0,0.34126952
9.0,0.10355396
10.0,8.581459
11.0,5.7539954
12.0,7.2831016
13.0,7.8298
14.0,8.122344
15.0,4.2289577
16.0,2.0012724
17.0,12.862363
18.0,0.04839661
19.0,0.019753126
20.0,0.019488338
21.0,0.020079823
22.0,0.01736065
23.0,1.365852
24.0,0.026229985
25.0,0.023761252
26.0,0.016661761
27.0,9.345408
28.0,0.027090808
29.0,0.38749936
30.0,0.02253282
31.0,0.02033341
32.0,0.018659992
33.0,0.018882673
34.0,0.017326575
35.0,0.019918608
36.0,0.1321914
37.0,0.037438165
38.0,0.020205313
39.0,0.015476051
40.0,0.014467629
41.0,8.085296
42.0,0.38052186
43.0,0.43199205
44.0,0.39973247
45.0,0.40978196
46.0,0.40484783
47.0,0.41904673
48.0,0.4066285
49.0,0.41046366
50.0,0.4569078
51.0,0.46105853
52.0,0.49199414
53.0,0.51224655
54.0,7.870495
55.0,0.5805164
56.0,0.55348784
57.0,0.62548774
58.0,0.5301721
59.0,0.5098307
60.0,0.6262261
61.0,1.7585286
62.0,2.1766386
63.0,2.1535954
64.0,2.1745481
65.0,1.9977725
66.0,1.8948967
67.0,1.7192262
68.0,8.494674
69.0,0.7150284
70.0,0.69858843
71.0,1.0564452
72.0,1.0580082
73.0,0.6622429
74.0,9.023776
75.0,6.9313087
76.0,4.982106
77.0,12.381039
78.0,7.9119053
79.0,0.1740792
80.0,0.18961963
81.0,7.390439
82.0,0.67527705
83.0,0.52965266
84.0,0.53594637
85.0,0.5148064
86.0,0.5335274
87.0,0.48691446
88.0,11.694019
89.0,0.19557916
90.0,0.19334784
91.0,0.19345734
92.0,0.10567967
93.0,0.20305315
94.0,5.53424
95.0,13.732894
96.0,11.287756
97.0,3.7303212
98.0,0.087645076
99.0,0.14251524
100.0,16.979078
101.0,7.653839
102.0,0.55397767
103.0,1.1021591
104.0,2.3562124
105.0,0.5687157
106.0,11.3369055
107.0,0.8236164
108.0,12.189494
109.0,4.2091494
110.0,10.845546
111.0,0.1240396
112.0,10.590543
113.0,0.7616905
114.0,10.504686
115.0,2.287111
116.0,10.362233
117.0,4.494366
118.0,12.262024
119.0,4.5468946
120.0,9.224745
121.0,7.2335353
122.0,7.1371
123.0,6.1926417
124.0,8.403882
125.0,7.4284954
126.0,8.448005
127.0,6.214871
128.0,0.19677144
129.0,0.14515795
130.0,0.120311566
131.0,0.09946247
132.0,10.824315
133.0,3.9330742
134.0,8.974871
135.0,3.4189193
136.0,1.6186078
137.0,7.9134765
138.0,0.73822016
139.0,4.2671127
140.0,7.3397856
141.0,5.511048
142.0,11.323724
143.0,5.3051534
144.0,5.619136
145.0,2.9960408
146.0,2.0361886
147.0,5.0613146
148.0,1.2535121
149.0,3.9669814
150.0,7.2240033
151.0,8.8415785
152.0,9.046968
153.0,10.05568
154.0,9.503671
155.0,8.145976
156.0,5.8115063
157.0,8.993051
158.0,8.659895
159.0,10.557144
160.0,10.334622
161.0,13.907961
162.0,10.041928
163.0,8.247463
164.0,8.039563
165.0,3.8426018
166.0,2.5279837
167.0,2.848972
168.0,1.5258602
169.0,4.2044573
170.0,8.301934
171.0,6.8963513
172.0,6.286101
173.0,6.741832
174.0,8.806761
175.0,6.865005
176.0,3.8416445
177.0,3.7062035
178.0,3.5897338
179.0,6.62939
180.0,4.5391994
181.0,3.0888448
182.0,3.5451567
183.0,0.4768954
184.0,0.3723525
185.0,6.1182
186.0,6.4944835
187.0,2.9981465
188.0,1.834566
189.0,2.4847772
190.0,4.1962748
191.0,7.3272147
192.0,10.493038
193.0,6.576148
194.0,4.17025
195.0,9.977381
196.0,5.0586996
197.0,2.2615502
198.0,1.921062
199.0,1.6267973
200.0,1.7298115
201.0,0.77877164
202.0,1.1190455
203.0,6.0954013
204.0,1.8689699
205.0,12.660242
206.0,10.374294
207.0,7.3163943
208.0,6.3031898
209.0,1.172702
210.0,6.040513
211.0,7.8704195
212.0,10.17245
213.0,10.61597
214.0,0.7421664
215.0,8.23397
216.0,9.943854
217.0,4.8520417
218.0,7.008503
219.0,5.0337887
220.0,10.277528
221.0,0.5034268
222.0,0.83709997
223.0,2.1843662
224.0,2.5479906
225.0,13.904597
226.0,0.74916166
227.0,0.15794079
228.0,13.15815
229.0,0.071508355
230.0,0.05216092
231.0,21.930878
232.0,1.9918073
233.0,10.833116
234.0,1.5258906
235.0,13.194115
236.0,13.766309
237.0,12.149549
238.0,10.51917
239.0,9.672156
240.0,7.1033463
241.0,8.927916
242.0,0.32938638
243.0,9.461804
244.0,44.42754
245.0,10.908004
246.0,7.3087587
247.0,9.572424
248.0,3.949931
249.0,5.4025483
250.0,10.653683
251.0,8.773274
252.0,11.000956
253.0,10.051328
254.0,8.424066
255.0,13.743561
256.0,5.4391236
257.0,10.416741
258.0,9.106759
259.0,8.116949
260.0,11.170454
261.0,3.4347508
262.0,5.6047926
263.0,11.624779
264.0,10.67217
265.0,17.68907
266.0,10.091865
267.0,5.323208
268.0,4.4505434
269.0,5.864407
270.0,4.2013755
271.0,6.5847263
272.0,7.7273936
273.0,7.6690083
274.0,7.5943193
275.0,15.303255
276.0,1.5395224
277.0,13.047512
278.0,8.58178
279.0,10.193803
280.0,7.1999717
281.0,7.676771
282.0,7.1321797
283.0,8.749313
284.0,11.776964
285.0,8.675776
286.0,4.9703774
287.0,5.6438026
288.0,11.845425
289.0,2.0569057
290.0,8.504044
291.0,0.04638708
292.0,0.02198878
293.0,0.0094444305
294.0,10.053579
295.0,2.4311492
296.0,5.3877215
297.0,8.101333
298.0,5.591803
299.0,8.284954
300.0,10.304974
301.0,15.363406
302.0,11.833694
303.0,0.058304746
304.0,0.02661459
305.0,2.4448256
306.0,14.280394
307.0,1.2574432
308.0,0.057830065
309.0,2.8488722
310.0,1.7907801
311.0,0.9418222
312.0,1.0061556
313.0,0.014876563
314.0,9.187105
315.0,11.351169
316.0,12.2843685
317.0,14.419185
318.0,12.693121
319.0,11.80076
320.0,10.000955
321.0,10.642537
322.0,11.449817
323.0,9.066262
324.0,8.660548
325.0,8.488916
326.0,9.299759
327.0,10.4770565
328.0,11.452921
329.0,10.763351
330.0,12.616242
331.0,6.173822
332.0,7.408416
333.0,7.984305
334.0,6.828203
335.0,9.85416
336.0,9.157391
337.0,16.903755
338.0,13.143054
339.0,10.236221
340.0,9.454278
341.0,10.890584
342.0,12.483525
343.0,9.46539
344.0,9.678631
345.0,10.591818
346.0,9.877308
347.0,10.4047785
348.0,5.6218286
349.0,7.3609905
350.0,7.8513393
351.0,5.4128823
352.0,7.4330134
353.0,7.162952
354.0,5.054039
355.0,6.28481
356.0,6.304055
357.0,11.394123
358.0,8.472518
359.0,11.99348
360.0,6.551251
361.0,4.921292
362.0,11.740733
363.0,9.968102
364.0,9.673469
365.0,12.76585
366.0,10.689962
367.0,2.187799
368.0,0.09318488
369.0,10.051257
370.0,12.904961
371.0,8.475471
372.0,2.8444982
373.0,1.0962175
374.0,3.2150815
375.0,5.9726653
376.0,5.812365
377.0,8.025438
378.0,6.51385
379.0,6.438467
380.0,12.232197
381.0,12.773787
382.0,10.451216
383.0,7.7536635
384.0,11.017124
385.0,2.474431
386.0,1.494074
387.0,0.81585544
388.0,1.2221042
389.0,11.366816
390.0,13.241102
391.0,6.550321
392.0,8.11272
393.0,9.60208
394.0,9.073027
395.0,3.170366
396.0,8.804399
397.0,8.255113
398.0,6.811396
399.0,10.040078
400.0,9.530189
401.0,8.947916
402.0,6.8756413
403.0,8.375853
404.0,6.6063066
405.0,9.088829
406.0,11.543176
407.0,9.922545
408.0,7.346771
409.0,6.9232774
410.0,5.589553
411.0,7.0191035
412.0,10.105644
413.0,11.4760065
414.0,13.682291
415.0,11.388811
416.0,11.743548
417.0,5.850905
418.0,2.662509
419.0,4.9208646
420.0,7.445774
421.0,2.5617976
422.0,0.05981674
423.0,0.03301818
424.0,0.03426784
425.0,0.03073695
426.0,0.2663935
427.0,0.7892836
428.0,0.5732106
429.0,0.51581395
430.0,0.6260837
431.0,1.1253124
432.0,0.05045605
433.0,0.3486117
434.0,0.04125153
435.0,0.052466832
436.0,0.056633115
437.0,0.20447646
438.0,0.17078693
439.0,0.52753115
440.0,0.87411463
441.0,0.06475548
