Time (s),Section,Text,Anger Score,RMS,Brightness,Motion
0.0,,,0.9000,0.000011,13.251305,0.473325
0.1,,,0.9000,0.002136,18.903529,0.490161
0.2,,,0.9000,0.004261,26.461727,0.506997
0.3,,,0.9000,0.006386,38.517684,0.523833
0.4,,,0.9000,0.008510,53.478396,0.540669
0.5,,,0.9000,0.010635,85.270966,0.557505
0.6,,,0.9000,0.012760,82.765942,0.574341
0.7,,,0.9000,0.014885,83.003741,0.591177
0.8,,,0.9000,0.017009,83.000069,0.608013
0.9,,,0.9000,0.019134,83.002806,0.624850
1.0,,,0.9000,0.021259,82.991573,0.641686
1.1,,,0.9000,0.020731,83.057092,0.687549
1.2,,,0.9000,0.020204,43.078355,0.733413
1.3,,,0.9000,0.019676,58.182145,0.779277
1.4,,,0.9000,0.019148,40.055041,0.825141
1.5,,,0.9000,0.018621,90.246155,0.871004
1.6,,,0.9000,0.018093,90.013229,0.916868
1.7,,,0.9000,0.017565,89.935423,0.962732
1.8,,,0.9000,0.017038,89.974754,1.008596
1.9,,,0.9000,0.016510,89.944262,1.054459
2.0,,,0.9000,0.015982,90.223871,1.100323
2.1,,,0.9000,0.016101,89.560178,1.131491
2.2,,,0.9000,0.016219,89.615997,1.162658
2.3,,,0.9000,0.016337,90.115789,1.193826
2.4,,,0.9000,0.016455,90.115196,1.224994
2.5,,,0.9000,0.016573,89.867426,1.256162
2.6,,,0.9000,0.016691,48.646500,1.287329
2.7,,,0.9000,0.016810,49.352294,1.318497
2.8,,,0.9000,0.016928,48.860058,1.349665
2.9,,,0.9000,0.017046,48.946793,1.380832
3.0,,,0.9000,0.017164,48.837375,1.412000
3.1,,,0.9000,0.017220,48.750730,1.776356
3.2,,,0.9000,0.017277,48.614551,2.140713
3.3,,,0.9000,0.017333,78.599804,2.505069
3.4,,,0.9000,0.017389,85.581393,2.869425
3.5,,,0.9000,0.017445,64.478216,3.233782
3.6,,,0.9000,0.017501,87.657051,3.598138
3.7,,,0.9000,0.017557,92.216738,3.962494
3.8,,,0.9000,0.017614,86.734290,4.326850
3.9,,,0.9000,0.017670,84.490632,4.691207
4.0,,,0.9000,0.017726,58.484249,5.055563
4.1,,,0.9000,0.017301,58.617499,5.021747
4.2,,,0.9000,0.016877,58.542237,4.987932
4.3,,,0.9000,0.016452,177.700004,4.954116
4.4,,,0.9000,0.016028,173.432131,4.920300
4.5,,,0.9000,0.015603,32.598044,4.886484
4.6,,,0.9000,0.015179,32.612321,4.852669
4.7,,,0.9000,0.014754,32.574192,4.818853
4.8,,,0.9000,0.014330,32.609205,4.785037
4.9,,,0.9000,0.013905,32.592818,4.751222
5.0,,,0.9000,0.013481,32.550770,4.717406
5.1,,,0.9000,0.013946,32.566552,4.302229
5.2,,,0.9000,0.014411,32.678107,3.887052
5.3,,,0.9000,0.014876,32.664064,3.471876
5.4,,,0.9000,0.015341,32.603297,3.056699
5.5,,,0.9000,0.015806,32.552845,2.641522
5.6,,,0.9000,0.016271,32.589707,2.226345
5.7,,,0.9000,0.016736,32.325190,1.811169
5.8,,,0.9000,0.017201,32.577655,1.395992
5.9,,,0.9000,0.017666,32.586584,0.980815
6.0,,,0.9000,0.018131,32.615410,0.565638
6.1,,,0.9000,0.021795,32.585347,0.509890
6.2,,,0.9000,0.025460,32.504705,0.454141
6.3,,,0.9000,0.029125,32.585102,0.398392
6.4,,,0.9000,0.032789,32.556580,0.342643
6.5,,,0.9000,0.036454,99.396814,0.286895
6.6,,,0.9000,0.040118,100.068447,0.231146
6.7,,,0.9000,0.043783,100.022825,0.175397
6.8,,,0.9000,0.047447,100.022404,0.119649
6.9,,,0.9000,0.051112,100.090506,0.063900
7.0,,,0.9000,0.054776,100.079933,0.008151
7.1,,,0.9000,0.053988,99.415386,0.007733
7.2,,,0.9000,0.053200,69.679116,0.007315
7.3,,,0.9000,0.052412,33.148672,0.006897
7.4,,,0.9000,0.051624,44.681276,0.006479
7.5,,,0.9000,0.050835,48.858843,0.006061
7.6,,,0.9000,0.050047,51.018444,0.005644
7.7,,,0.9000,0.049259,54.535768,0.005226
7.8,,,0.9000,0.048471,27.836951,0.004808
7.9,,,0.9000,0.047683,30.699790,0.004390
8.0,,,0.9000,0.046894,32.934881,0.003972
8.1,,,0.9000,0.048225,24.847962,0.406571
8.2,,,0.9000,0.049556,26.201343,0.809171
8.3,,,0.9000,0.050887,78.399920,1.211770
8.4,,,0.9000,0.052218,71.986912,1.614370
8.5,,,0.9000,0.053549,38.557471,2.016970
8.6,,,0.9000,0.054880,71.439218,2.419569
8.7,,,0.9000,0.056211,70.604850,2.822169
8.8,,,0.9000,0.057542,61.406235,3.224768
8.9,,,0.9000,0.058873,53.701797,3.627368
9.0,,,0.9000,0.060204,37.320757,4.029967
9.1,,,0.9000,0.057986,19.040556,3.808687
9.2,,,0.9000,0.055767,9.638262,3.587407
9.3,,,0.9000,0.053549,36.521792,3.366127
9.4,,,0.9000,0.051331,94.551696,3.144847
9.5,,,0.9000,0.049112,38.501068,2.923567
9.6,,,0.9000,0.046894,51.861491,2.702287
9.7,,,0.9000,0.044676,30.080206,2.481007
9.8,,,0.9000,0.042457,37.866259,2.259727
9.9,,,0.9000,0.040239,88.998638,2.038447
10.0,,,0.9000,0.038021,204.976433,1.817167
10.1,,,0.9000,0.038917,217.760632,2.026058
10.2,,,0.9000,0.039813,229.158633,2.234950
10.3,,,0.9000,0.040710,228.341914,2.443841
10.4,,,0.9000,0.041606,227.083195,2.652732
10.5,,,0.9000,0.042503,114.004161,2.861624
10.6,,,0.9000,0.043399,48.299425,3.070515
10.7,,,0.9000,0.044296,47.697354,3.279407
10.8,,,0.9000,0.045192,44.987718,3.488298
10.9,,,0.9000,0.046088,145.312934,3.697189
11.0,,,0.9000,0.046985,145.262796,3.906081
11.1,,,0.9000,0.045958,146.077183,3.641382
11.2,,,0.9000,0.044931,146.127415,3.376682
11.3,,,0.9000,0.043904,150.832953,3.111983
11.4,,,0.9000,0.042877,21.233837,2.847284
11.5,,,0.9000,0.041850,17.609549,2.582585
11.6,,,0.9000,0.040824,17.368934,2.317886
11.7,,,0.9000,0.039797,24.134423,2.053187
11.8,,,0.9000,0.038770,15.810477,1.788487
11.9,,,0.9000,0.037743,35.030173,1.523788
12.0,,,0.9000,0.036716,28.259998,1.259089
12.1,,,0.9000,0.034291,50.869429,1.296266
12.2,,,0.9000,0.031865,62.896579,1.333443
12.3,,,0.9000,0.029440,77.478159,1.370620
12.4,,,0.9000,0.027014,180.763590,1.407797
12.5,,,0.9000,0.024589,63.094933,1.444974
12.6,,,0.9000,0.022163,128.981359,1.482151
12.7,,,0.9000,0.019738,39.589415,1.519328
12.8,,,0.9000,0.017313,97.326389,1.556505
12.9,,,0.9000,0.014887,103.436564,1.593682
13.0,,,0.9000,0.012462,104.422614,1.630859
13.1,,,0.9000,0.016017,101.741531,1.940300
13.2,,,0.9000,0.019572,77.629780,2.249742
13.3,,,0.9000,0.023128,96.033526,2.559183
13.4,,,0.9000,0.026683,91.620917,2.868625
